epoch,followers,following,media,accessibility_caption,comments_disabled,liked_by,is_video,location,taken_at,caption
1548680264.1012242,1044,213,62,,,,,,,
1548680415.77173,1044,213,62,,,,,,,
1548681010.4573712,1044,213,62,,,,,,,
1548681610.2157617,1044,213,62,,,,,,,
1548682210.6803713,1044,213,62,,,,,,,
1548682810.5052876,1044,213,62,,,,,,,
1548683409.9771965,1044,213,62,,,,,,,
1548684011.0926383,1044,213,62,,,,,,,
1548684610.4755123,1044,213,62,,,,,,,
1548685210.3910873,1044,213,62,,,,,,,
1548685812.703195,1044,213,62,,,,,,,
1548686410.83556,1044,213,62,,,,,,,
1548687010.7272725,1044,213,62,,,,,,,
1548687619.3168838,1044,213,62,,,,,,,
1548688210.1477175,1044,213,62,,,,,,,
1548688810.8606596,1044,213,62,,,,,,,
1548689410.509551,1044,213,62,,,,,,,
1548690009.7174203,1044,213,62,,,,,,,
1548690610.2412977,1044,213,62,,,,,,,
1548691210.518187,1044,213,62,,,,,,,
1548691810.4691424,1044,213,62,,,,,,,
1548692410.6000006,1044,213,62,,,,,,,
1548693015.4948552,1044,213,62,,,,,,,
1548693609.977249,1044,213,62,,,,,,,
1548694210.6665282,1044,213,62,,,,,,,
1548694810.5227575,1044,213,62,,,,,,,
1548695412.56138,1044,213,62,,,,,,,
1548696014.260195,1044,213,62,,,,,,,
1548696609.8660798,1044,213,62,,,,,,,
1548697210.20492,1044,213,62,,,,,,,
1548697810.9252963,1044,213,62,,,,,,,
1548698410.229064,1044,213,62,,,,,,,
1548699012.3807666,1044,213,62,,,,,,,
1548699611.078398,1044,213,62,,,,,,,
1548700212.0285635,1044,213,62,,,,,,,
1548700810.4682436,1044,213,62,,,,,,,
1548701410.5137837,1044,213,62,,,,,,,
1548702010.3844104,1044,213,62,,,,,,,
1548702609.9757605,1044,213,62,,,,,,,
1548703211.3012435,1044,213,62,,,,,,,
1548703811.4778905,1044,213,62,,,,,,,
1548704410.2769344,1044,213,62,,,,,,,
1548705010.1060765,1044,213,62,,,,,,,
1548705612.2839177,1044,213,62,,,,,,,
1548706210.3548217,1044,213,62,,,,,,,
1548706810.2731073,1044,213,62,,,,,,,
1548707411.1779346,1044,213,62,,,,,,,
1548708010.9886985,1044,213,62,,,,,,,
1548708612.101555,1044,213,62,,,,,,,
1548709210.8840344,1044,213,62,,,,,,,
1548709809.9832141,1044,213,62,,,,,,,
1548710419.6297598,1044,213,62,,,,,,,
1548711010.2161179,1044,213,62,,,,,,,
1548711609.7226534,1044,213,62,,,,,,,
1548712211.2614403,1044,213,62,,,,,,,
1548712810.308704,1044,213,62,,,,,,,
1548713410.6336339,1044,213,62,,,,,,,
1548714010.5347826,1044,213,62,,,,,,,
1548714610.7393956,1044,213,62,,,,,,,
1548715209.8886356,1044,213,62,,,,,,,
1548715810.3265693,1044,213,62,,,,,,,
1548716410.5881717,1044,213,62,,,,,,,
1548717010.558204,1044,213,62,,,,,,,
1548717610.257839,1044,213,62,,,,,,,
1548718214.9516432,1044,213,62,,,,,,,
1548718810.1333127,1044,213,62,,,,,,,
1548719410.9078434,1044,213,62,,,,,,,
1548720010.1958737,1044,213,62,,,,,,,
