epoch,followers,following,media,accessibility_caption,comments_disabled,liked_by,is_video,location,taken_at,caption
1548680270.718669,5167,493,57,,,,,,,
1548680422.1937876,5167,493,57,,,,,,,
1548681017.124121,5167,493,57,,,,,,,
1548681617.2687106,5167,493,57,,,,,,,
1548682218.1400757,5167,493,57,,,,,,,
1548682817.3231368,5167,493,57,,,,,,,
1548683416.5880926,5167,493,57,,,,,,,
1548684017.8754697,5167,493,57,,,,,,,
1548684617.3228962,5167,493,57,,,,,,,
1548685220.497066,5167,493,57,,,,,,,
1548685820.4322805,5167,493,57,,,,,,,
1548686417.569488,5167,493,57,,,,,,,
1548687022.1526828,5167,493,57,,,,,,,
1548687626.2573283,5167,493,57,,,,,,,
1548688217.0266845,5167,493,57,,,,,,,
1548688817.7127962,5167,493,57,,,,,,,
1548689417.1191761,5167,493,57,,,,,,,
1548690016.2680836,5167,493,57,,,,,,,
1548690616.7972012,5180,493,57,,,,,,,
1548691217.7341194,5180,493,57,,,,,,,
1548691817.362269,5180,493,57,,,,,,,
1548692417.1203377,5180,493,57,,,,,,,
1548693022.145619,5180,493,57,,,,,,,
1548693618.2220175,5180,493,57,,,,,,,
1548694218.0520525,5180,493,57,,,,,,,
1548694819.7100837,5180,493,57,,,,,,,
1548695418.707149,5180,493,57,,,,,,,
1548696021.3319125,5180,493,57,,,,,,,
1548696616.8430753,5180,493,57,,,,,,,
1548697216.802477,5180,493,57,,,,,,,
1548697817.632534,5180,493,57,,,,,,,
1548698416.6068726,5180,493,57,,,,,,,
1548699019.2821834,5180,493,57,,,,,,,
1548699617.8491945,5179,493,57,,,,,,,
1548700218.6387844,5179,493,57,,,,,,,
1548700820.639692,5179,493,57,,,,,,,
1548701418.5993695,5179,493,57,,,,,,,
1548702017.6250744,5184,493,57,,,,,,,
1548702617.805145,5184,493,57,,,,,,,
1548703218.0784688,5184,493,57,,,,,,,
1548703818.348824,5184,493,57,,,,,,,
1548704417.9482203,5184,493,57,,,,,,,
1548705017.991051,5184,493,57,,,,,,,
1548705622.050214,5184,493,57,,,,,,,
1548706216.992526,5184,493,57,,,,,,,
1548706816.8209453,5184,493,57,,,,,,,
1548707417.5035992,5184,493,57,,,,,,,
1548708017.4969437,5185,493,57,,,,,,,
1548708619.1627195,5185,493,57,,,,,,,
1548709217.2455277,5184,493,57,,,,,,,
1548709816.0902019,5184,493,57,,,,,,,
1548710433.8181362,5184,493,57,,,,,,,
1548711016.958927,5184,493,57,,,,,,,
1548711616.751564,5184,493,57,,,,,,,
1548712218.7517521,5184,493,57,,,,,,,
1548712816.7153509,5183,493,57,,,,,,,
1548713416.7865095,5185,493,57,,,,,,,
1548714017.3286095,5185,493,57,,,,,,,
1548714617.0770786,5185,493,57,,,,,,,
1548715216.7403471,5185,493,57,,,,,,,
1548715817.0374928,5185,493,57,,,,,,,
1548716416.9760458,5184,493,57,,,,,,,
1548717019.819615,5184,493,57,,,,,,,
1548717616.4387116,5184,493,57,,,,,,,
1548718221.1859994,5184,493,57,,,,,,,
1548718816.4652567,5184,493,57,,,,,,,
1548719417.7068326,5184,493,57,,,,,,,
1548720016.3784192,5184,493,57,,,,,,,
