epoch,followers,following,media,accessibility_caption,comments_disabled,liked_by,is_video,location,taken_at,caption
1548680269.2431035,2105,220,33,,,,,,,
1548680421.0246277,2105,220,33,,,,,,,
1548681015.9486444,2105,220,33,,,,,,,
1548681616.0720484,2105,220,33,,,,,,,
1548682216.527792,2105,220,33,,,,,,,
1548682816.1160724,2104,220,33,,,,,,,
1548683415.1105547,2104,220,33,,,,,,,
1548684016.6209123,2104,220,33,,,,,,,
1548684616.1200633,2103,220,33,,,,,,,
1548685219.232643,2103,220,33,,,,,,,
1548685819.1108966,2104,220,33,,,,,,,
1548686416.317717,2104,220,33,,,,,,,
1548687020.9027002,2105,220,33,,,,,,,
1548687625.0713677,2105,220,33,,,,,,,
1548688215.6359932,2104,220,33,,,,,,,
1548688816.2404354,2104,220,33,,,,,,,
1548689415.6308115,2104,220,33,,,,,,,
1548690014.894382,2103,219,33,,,,,,,
1548690615.3568568,2104,219,33,,,,,,,
1548691216.532096,2104,219,33,,,,,,,
1548691816.1263833,2104,219,33,,,,,,,
1548692415.8191512,2105,219,33,,,,,,,
1548693020.911151,2105,220,33,,,,,,,
1548693616.9421034,2105,220,33,,,,,,,
1548694216.4977016,2106,219,33,,,,,,,
1548694818.467717,2106,219,33,,,,,,,
1548695417.5861495,2106,219,33,,,,,,,
1548696020.1419313,2106,219,33,,,,,,,
1548696615.5913966,2105,220,33,,,,,,,
1548697215.457931,2105,220,33,,,,,,,
1548697816.4065266,2105,220,33,,,,,,,
1548698415.4139402,2105,220,33,,,,,,,
1548699017.981102,2105,220,33,,,,,,,
1548699616.4764042,2104,220,33,,,,,,,
1548700217.3582036,2104,220,33,,,,,,,
1548700819.3989763,2104,220,33,,,,,,,
1548701416.120046,2106,220,33,,,,,,,
1548702016.4299529,2106,220,33,,,,,,,
1548702616.6521552,2106,221,33,,,,,,,
1548703216.7754905,2106,221,33,,,,,,,
1548703816.856162,2106,221,33,,,,,,,
1548704416.7398775,2106,221,33,,,,,,,
1548705016.407859,2106,221,33,,,,,,,
1548705620.7841241,2106,221,33,,,,,,,
1548706215.830983,2106,222,33,,,,,,,
1548706815.6387935,2106,222,33,,,,,,,
1548707416.3256896,2106,222,33,,,,,,,
1548708015.9894395,2106,222,33,,,,,,,
1548708617.4509783,2105,222,33,,,,,,,
1548709216.0681617,2105,222,33,,,,,,,
1548709814.8941622,2106,222,33,,,,,,,
1548710430.8908741,2106,222,33,,,,,,,
1548711015.6234145,2106,222,33,,,,,,,
1548711615.6317217,2106,222,33,,,,,,,
1548712216.571124,2105,222,33,,,,,,,
1548712815.534823,2105,222,33,,,,,,,
1548713415.5866103,2106,222,33,,,,,,,
1548714016.2046316,2106,222,33,,,,,,,
1548714615.7641716,2105,222,33,,,,,,,
1548715215.2098918,2107,222,33,,,,,,,
1548715815.7781076,2107,222,33,,,,,,,
1548716415.632019,2107,222,33,,,,,,,
1548717015.7000363,2107,222,33,,,,,,,
1548717615.266654,2107,222,33,,,,,,,
1548718220.0308867,2107,222,33,,,,,,,
1548718815.188497,2107,222,33,,,,,,,
1548719416.4727948,2107,222,33,,,,,,,
1548720015.2489684,2108,222,33,,,,,,,
