epoch,followers,following,media
1548523202.3595011,6104,438,147
1548523802.4165056,6105,438,147
1548524401.741096,6105,438,147
1548525001.7657979,6105,438,147
1548525601.7920449,6105,438,147
1548526202.14013,6105,438,147
1548526802.1770735,6105,438,147
1548527402.2148163,6105,438,147
1548528001.8598435,6105,438,147
1548528601.8825219,6104,438,147
1548529201.9212372,6104,438,147
1548529802.5621989,6103,438,147
1548530401.6177764,6103,438,147
1548531001.6334498,6103,438,147
1548531602.280587,6103,438,147
1548532202.3211417,6103,438,147
1548532802.4387732,6104,438,147
1548533402.021038,6104,438,147
1548534002.0549285,6104,438,147
1548534602.108845,6104,438,147
1548535201.746278,6104,438,147
1548535801.7737863,6104,438,147
1548536401.790787,6104,438,147
1548537002.4396439,6104,438,147
1548537602.4845831,6104,438,147
1548538202.5201578,6104,438,147
1548538801.8494823,6103,438,147
1548539401.8816388,6103,438,147
1548540001.90186,6103,438,147
1548540602.2300825,6105,438,147
1548541202.2864752,6105,438,147
1548541802.324953,6105,438,147
1548542401.640108,6105,438,147
1548543001.686575,6106,438,147
