epoch,followers,following,media
1548523202.3595011,25512,641,336
1548523802.4165056,25512,641,336
1548524401.741096,25513,641,336
1548525001.7657979,25513,641,336
1548525601.7920449,25513,641,336
1548526202.14013,25513,641,336
1548526802.1770735,25513,641,336
1548527402.2148163,25513,641,336
1548528001.8598435,25513,641,336
1548528601.8825219,25513,641,336
1548529201.9212372,25513,641,336
1548529802.5621989,25514,641,336
1548530401.6177764,25514,641,336
1548531001.6334498,25514,641,336
1548531602.280587,25514,641,336
1548532202.3211417,25514,641,336
