epoch,followers,following,media
1548298802.0870934,1058307,916,791
1548299401.7826178,1058313,916,791
1548300001.8165777,1058319,916,791
1548300601.8579254,1058327,916,791
1548301202.2029557,1058319,916,791
1548301802.2400985,1058325,916,791
1548302402.289817,1058331,916,791
1548303001.924893,1058328,916,791
1548303601.9764748,1058326,916,791
1548304201.9992287,1058328,916,791
1548304801.659162,1058323,916,791
1548305401.6617913,1058319,916,791
1548306001.7218227,1058326,916,791
1548306602.3569465,1058324,916,791
1548307202.3992085,1058330,916,791
1548307802.265828,1058337,916,791
1548308401.5983963,1058338,916,791
1548309001.6716585,1058343,916,791
1548309601.6540363,1058358,916,791
1548310202.3479655,1058359,916,791
1548310802.4122798,1058359,916,791
1548311402.4376361,1058364,916,791
1548312001.750331,1058361,916,791
1548312601.786316,1058357,916,791
1548313201.8348525,1058359,916,791
1548313802.511596,1058364,916,791
1548314402.566716,1058369,916,791
1548315001.5818083,1058366,916,791
1548315602.2301936,1058373,916,791
1548316202.2651966,1058369,916,791
1548316802.3179162,1058371,916,791
1548317401.954595,1058377,916,791
1548318001.9911675,1058370,916,791
1548318602.0316777,1058368,916,791
1548319201.693294,1058375,916,791
1548319801.7206945,1058382,916,791
1548320401.7419436,1058382,916,791
1548321002.392902,1058390,916,791
1548321602.4675891,1058400,916,791
1548322202.46317,1058402,916,791
1548322801.815157,1058409,916,791
1548323401.859531,1058424,916,791
1548324001.884133,1058428,916,791
1548324602.534612,1058424,916,791
1548325201.5782216,1058436,916,791
1548325801.6016753,1058443,916,791
1548326402.2679408,1058442,916,791
1548327002.2822492,1058453,916,791
1548327602.3302438,1058453,916,791
1548328201.9696956,1058458,916,791
1548328802.0261345,1058463,916,791
1548329402.0508032,1058464,916,791
1548330002.3825116,1058467,916,791
1548330602.430637,1058471,916,791
1548331202.4445753,1058477,916,791
1548331802.0896401,1058484,916,791
1548332402.1706738,1058488,916,791
1548333002.1908553,1058491,916,791
1548333601.8707101,1058498,916,791
1548334201.8934782,1058492,916,791
1548334801.9102318,1058505,916,791
1548335402.2417383,1058507,916,791
1548336002.2944405,1058514,916,791
1548336602.3522868,1058523,916,791
1548337201.6503725,1058522,916,791
1548337801.6887603,1058519,916,791
1548338401.7017498,1058525,916,791
1548339002.3656354,1058518,916,791
1548339602.4173028,1058529,916,791
1548340202.491884,1058537,916,791
1548340802.1181753,1058536,916,791
1548341402.1435182,1058539,916,791
1548342002.2033396,1058546,916,791
1548342602.5349479,1058549,916,791
1548343201.5846477,1058559,916,791
1548343801.6087608,1058564,916,791
1548344401.9393218,1058564,916,791
1548345001.985724,1058574,916,791
1548345602.028503,1058580,916,791
1548346201.6811435,1058590,916,791
1548346802.2148647,1058608,916,791
1548347401.749384,1058609,916,791
1548348002.4083223,1058622,916,791
1548348602.4364238,1058628,916,791
1548349202.5039852,1058632,916,791
1548349802.1363947,1058646,916,791
1548350402.166014,1058645,916,791
1548351002.2136896,1058653,916,791
1548351601.8721447,1058659,916,791
1548352201.9114017,1058653,916,791
1548352801.93166,1058662,916,791
1548353402.570771,1058660,916,791
1548354001.6243076,1058661,916,791
1548354601.658671,1058669,916,791
1548355202.0191882,1058674,916,791
1548355802.033689,1058669,918,792
1548356402.056937,1058669,918,792
1548357001.683956,1058659,918,792
1548357601.7359772,1058654,918,792
1548358201.7609067,1058643,918,792
1548358802.0928025,1058631,918,792
1548359402.1381414,1058628,918,792
1548360002.1960661,1058621,918,792
1548360601.8301783,1058625,918,792
1548361201.8697717,1058641,918,792
1548361801.902783,1058654,918,792
1548362402.5347517,1058656,918,792
1548363002.5681932,1058654,918,792
1548363601.5918648,1058660,918,792
1548364201.9163437,1058663,918,792
1548364801.9838603,1058654,918,792
1548365402.034526,1058663,918,792
1548366001.6462853,1058662,918,792
1548366601.667974,1058657,918,792
1548367201.71866,1058659,918,792
1548367802.3618302,1058659,918,792
1548368402.411959,1058659,918,792
1548369002.4602625,1058665,918,792
1548369602.0973554,1058664,918,792
1548370202.1206756,1058676,918,792
1548370802.2215288,1058676,918,792
1548371402.527792,1058680,918,792
1548372001.577802,1058678,918,792
1548372601.6135757,1058681,918,792
1548373202.2273471,1058680,918,792
1548373802.26911,1058683,918,792
1548374402.3109617,1058689,918,792
1548375001.6217418,1058699,918,792
1548375601.6727982,1058703,918,792
1548376201.7078817,1058703,918,792
1548376802.3376527,1058703,918,792
1548377402.3808444,1058704,918,792
1548378002.4134896,1058709,918,792
1548378602.0758533,1058709,918,792
1548379202.1097815,1058710,918,792
1548379802.131885,1058714,918,792
1548380402.4742074,1058715,918,792
1548381002.4998658,1058712,918,792
1548381602.5907516,1058713,918,792
1548382202.192975,1058714,918,792
1548382802.2416837,1058650,918,792
1548383402.2612572,1058650,918,792
1548384001.8973317,1058648,918,792
1548384601.9611404,1058651,918,792
1548385201.981544,1058655,918,792
1548385802.342515,1058655,918,792
1548386402.4046257,1058656,918,792
1548387002.4276068,1058660,918,792
1548387601.760065,1058661,918,792
1548388201.8036232,1058662,918,792
1548388801.836785,1058665,918,792
1548389402.4605448,1058665,918,792
1548390002.5173984,1058671,919,792
1548390602.5644708,1058675,919,792
1548391202.2382088,1058670,919,792
1548391802.2829645,1058676,919,792
1548392402.3485987,1058682,919,792
1548393001.6377058,1058681,919,792
1548393601.6982071,1058681,919,792
1548394202.3228521,1058683,919,792
1548394801.934604,1058679,919,792
1548395401.946683,1058683,919,792
1548396001.99455,1058673,919,792
1548396602.3715575,1058684,919,792
1548397202.3989081,1058690,919,792
1548397802.4519963,1058690,919,792
1548398402.118225,1058696,919,792
1548399002.1331618,1058700,919,792
1548399602.174842,1058693,919,792
1548400201.8143158,1058697,919,792
1548400801.8702037,1058695,919,792
1548401401.9161553,1058698,919,792
1548402002.5757632,1058705,919,792
1548402601.621733,1058709,919,792
1548403201.7224991,1058702,919,792
1548403802.3262048,1058697,919,792
1548404402.3814044,1058698,919,792
1548405002.4677324,1058698,919,792
1548405602.0782294,1058703,919,792
1548406202.0929856,1058697,919,792
1548406802.1213877,1058695,919,792
1548407401.7592435,1058696,919,792
1548408001.7989984,1058706,919,792
1548408601.8437734,1058708,919,792
1548409202.4859674,1058709,919,792
1548409802.5239706,1058725,919,792
1548410402.5946887,1058729,919,792
1548411002.234579,1058730,919,792
1548411602.26562,1058730,919,792
1548412202.302785,1058730,919,792
1548412801.9594138,1058741,919,792
1548413401.9798024,1058744,919,792
1548414002.1040714,1058748,919,792
1548414601.718412,1058746,919,792
1548415201.773623,1058750,919,792
1548415801.8149464,1058759,919,792
1548416402.1572523,1058770,919,792
1548417002.1891375,1058779,919,792
1548417602.231166,1058789,919,792
1548418201.8824282,1058798,919,792
1548418801.948313,1058804,919,792
1548419401.9736147,1058811,919,792
1548420001.6429195,1058810,919,792
1548420601.6600354,1058809,919,792
1548421201.7093906,1058810,919,792
1548421802.3676147,1058818,919,792
1548422402.404802,1058813,919,792
1548423002.5055323,1058813,919,792
1548423602.1286495,1058814,919,792
1548424202.1819103,1058822,919,792
1548424802.2735505,1058832,919,792
1548425402.532115,1058835,919,792
1548426001.589806,1058837,919,792
1548426601.6334865,1058834,919,792
1548427201.970455,1058845,919,792
1548427801.998927,1058838,919,792
1548428402.7792811,1058841,919,792
1548429001.7699358,1058838,919,792
1548429601.7861412,1058838,919,792
1548430201.8283162,1058834,919,792
1548430802.1567636,1058831,919,793
1548431402.2129467,1058822,919,793
1548432002.2438464,1058820,919,793
1548432601.9222934,1058814,919,793
1548433201.964088,1058813,919,793
1548433801.9873755,1058806,919,793
1548434401.6474857,1058817,919,793
1548435001.6712515,1058830,919,793
1548435601.7747889,1058817,919,793
1548436202.0655203,1058817,919,793
1548436802.1076508,1058836,919,793
1548437402.1514566,1058843,919,793
1548438001.8039694,1058848,919,793
