epoch,followers,following,media
1548298802.0870934,289,9,18
1548299401.7826178,289,9,18
1548300001.8165777,289,9,18
1548300601.8579254,289,9,18
1548301202.2029557,289,9,18
1548301802.2400985,289,9,18
1548302402.289817,289,9,18
1548303001.924893,289,9,18
1548303601.9764748,289,9,18
1548304201.9992287,289,9,18
1548304801.659162,289,9,18
1548305401.6617913,289,9,18
1548306001.7218227,289,9,18
1548306602.3569465,289,9,18
1548307202.3992085,289,9,18
1548307802.265828,289,9,18
1548308401.5983963,289,9,18
1548309001.6716585,289,9,18
1548309601.6540363,289,9,18
1548310202.3479655,289,9,18
1548310802.4122798,289,9,18
1548311402.4376361,289,9,18
1548312001.750331,289,9,18
1548312601.786316,289,9,18
1548313201.8348525,289,9,18
1548313802.511596,289,9,18
1548314402.566716,289,9,18
1548315001.5818083,289,9,18
1548315602.2301936,289,9,18
1548316202.2651966,289,9,18
1548316802.3179162,289,9,18
1548317401.954595,289,9,18
1548318001.9911675,289,9,18
1548318602.0316777,289,9,18
1548319201.693294,289,9,18
1548319801.7206945,289,9,18
1548320401.7419436,289,9,18
1548321002.392902,289,9,18
1548321602.4675891,289,9,18
1548322202.46317,289,9,18
1548322801.815157,289,9,18
1548323401.859531,289,9,18
1548324001.884133,289,9,18
1548324602.534612,289,9,18
1548325201.5782216,289,9,18
1548325801.6016753,289,9,18
1548326402.2679408,289,9,18
1548327002.2822492,289,9,18
1548327602.3302438,289,9,18
1548328201.9696956,289,9,18
1548328802.0261345,289,9,18
1548329402.0508032,289,9,18
1548330002.3825116,289,9,18
1548330602.430637,289,9,18
1548331202.4445753,289,9,18
1548331802.0896401,289,9,18
1548332402.1706738,289,9,18
1548333002.1908553,289,9,18
1548333601.8707101,289,9,18
1548334201.8934782,289,9,18
1548334801.9102318,289,9,18
1548335402.2417383,289,9,18
1548336002.2944405,289,9,18
1548336602.3522868,289,9,18
1548337201.6503725,289,9,18
1548337801.6887603,289,9,18
1548338401.7017498,289,9,18
1548339002.3656354,289,9,18
1548339602.4173028,289,9,18
1548340202.491884,289,9,18
1548340802.1181753,289,9,18
1548341402.1435182,289,9,18
1548342002.2033396,289,9,18
1548342602.5349479,289,9,18
1548343201.5846477,289,9,18
1548343801.6087608,289,9,18
1548344401.9393218,289,9,18
1548345001.985724,289,9,18
1548345602.028503,290,9,18
1548346201.6811435,290,9,18
1548346802.2148647,290,9,18
1548347401.749384,290,9,18
1548348002.4083223,290,9,18
1548348602.4364238,290,9,18
1548349202.5039852,290,9,18
1548349802.1363947,290,9,18
1548350402.166014,290,9,18
1548351002.2136896,290,9,18
1548351601.8721447,290,9,18
1548352201.9114017,290,9,18
1548352801.93166,290,9,18
1548353402.570771,290,9,18
1548354001.6243076,290,9,18
1548354601.658671,290,9,18
1548355202.0191882,290,9,18
1548355802.033689,290,9,18
1548356402.056937,290,9,18
1548357001.683956,290,9,18
1548357601.7359772,290,9,18
1548358201.7609067,290,9,18
1548358802.0928025,290,9,18
1548359402.1381414,290,9,18
1548360002.1960661,290,9,18
1548360601.8301783,290,9,18
1548361201.8697717,290,9,18
1548361801.902783,290,9,18
1548362402.5347517,290,9,18
1548363601.5918648,290,9,18
1548364201.9163437,290,9,18
1548364801.9838603,290,9,18
1548365402.034526,290,9,18
1548366001.6462853,290,9,18
1548366601.667974,290,9,18
1548367201.71866,290,9,18
1548367802.3618302,290,9,18
1548368402.411959,290,9,18
1548369002.4602625,290,9,18
1548369602.0973554,290,9,18
1548370202.1206756,290,9,18
1548370802.2215288,290,9,18
1548371402.527792,290,9,18
1548372001.577802,290,9,18
1548372601.6135757,290,9,18
1548373202.2273471,290,9,18
1548373802.26911,290,9,18
1548374402.3109617,290,9,18
1548375001.6217418,290,9,18
1548375601.6727982,290,9,18
1548376201.7078817,290,9,18
1548376802.3376527,290,9,18
1548377402.3808444,290,9,18
1548378002.4134896,290,9,18
1548378602.0758533,290,9,18
1548379202.1097815,290,9,18
1548379802.131885,290,9,18
1548380402.4742074,290,9,18
1548381002.4998658,290,9,18
1548381602.5907516,290,9,18
1548382202.192975,290,9,18
1548382802.2416837,290,9,18
1548383402.2612572,290,9,18
1548384001.8973317,290,9,18
1548384601.9611404,290,9,18
1548385201.981544,290,9,18
1548385802.342515,290,9,18
1548386402.4046257,290,9,18
1548387002.4276068,290,9,18
1548387601.760065,290,9,18
1548388201.8036232,290,9,18
1548388801.836785,290,9,18
1548389402.4605448,290,9,18
1548390002.5173984,290,9,18
1548390602.5644708,290,9,18
1548391202.2382088,290,9,18
1548391802.2829645,290,9,18
1548392402.3485987,290,9,18
1548393001.6377058,290,9,18
1548393601.6982071,290,9,18
1548394202.3228521,290,9,18
1548394801.934604,290,9,18
1548395401.946683,290,9,18
1548396001.99455,290,9,18
1548396602.3715575,290,9,18
1548397202.3989081,290,9,18
1548397802.4519963,290,9,18
1548398402.118225,290,9,18
1548399002.1331618,290,9,18
1548399602.174842,290,9,18
1548400201.8143158,290,9,18
1548400801.8702037,290,9,18
1548401401.9161553,290,9,18
1548402002.5757632,290,9,18
1548402601.621733,290,9,18
1548403201.7224991,290,9,18
1548403802.3262048,290,9,18
1548404402.3814044,290,9,18
1548405002.4677324,290,9,18
1548405602.0782294,290,9,18
1548406202.0929856,290,9,18
1548406802.1213877,290,9,18
1548407401.7592435,290,9,18
1548408001.7989984,290,9,18
1548408601.8437734,290,9,18
1548409202.4859674,290,9,18
1548409802.5239706,290,9,18
1548410402.5946887,290,9,18
1548411002.234579,290,9,18
1548411602.26562,290,9,18
1548412202.302785,290,9,18
1548412801.9594138,290,9,18
1548413401.9798024,290,9,18
1548414002.1040714,290,9,18
1548414601.718412,290,9,18
1548415201.773623,290,9,18
1548415801.8149464,290,9,18
1548416402.1572523,290,9,18
1548417002.1891375,290,9,18
1548417602.231166,290,9,18
1548418201.8824282,290,9,18
1548418801.948313,291,9,18
1548419401.9736147,291,9,18
1548420001.6429195,291,9,18
1548420601.6600354,291,9,18
1548421201.7093906,291,9,18
1548421802.3676147,291,9,18
1548422402.404802,291,9,18
1548423002.5055323,291,9,18
1548423602.1286495,291,9,18
1548424202.1819103,291,9,18
1548424802.2735505,291,9,18
1548425402.532115,292,9,18
1548426001.589806,292,9,18
1548426601.6334865,292,9,18
1548427201.970455,292,9,18
1548427801.998927,292,9,18
1548428402.7792811,292,9,18
1548429001.7699358,292,9,18
1548429601.7861412,292,9,18
1548430201.8283162,292,9,18
1548430802.1567636,292,9,18
1548431402.2129467,292,9,18
1548432002.2438464,292,9,18
1548432601.9222934,292,9,18
1548433201.964088,292,9,18
1548433801.9873755,292,9,18
1548434401.6474857,292,9,18
1548435001.6712515,292,9,18
1548435601.7747889,292,9,18
1548436202.0655203,292,9,18
1548436802.1076508,292,9,18
1548437402.1514566,292,9,18
1548438001.8039694,292,9,18
1548438601.8261967,292,9,18
1548439201.855445,292,9,18
1548439802.5156443,292,9,18
1548440402.5489078,292,9,18
1548441001.56922,292,9,18
1548441602.2239504,292,9,18
1548442202.2564628,292,9,18
1548442802.2987196,292,9,18
1548443401.9383855,292,9,18
1548444002.0165036,292,9,18
1548444602.044816,292,9,18
1548445202.3662565,292,9,18
1548445802.409129,292,9,18
1548446402.5271378,292,9,18
1548447002.1144686,292,9,18
1548447602.151291,292,9,18
1548448202.1984131,292,9,18
1548448802.5225685,292,9,18
1548449402.5810623,292,9,18
1548450001.6040695,292,9,18
1548450602.2709303,292,9,18
1548451202.2984211,292,9,18
1548451802.3539116,292,9,18
1548452401.6743531,292,9,18
1548453001.7205737,292,9,18
1548453601.7570858,292,9,18
1548454202.1013148,292,9,18
1548454802.1523144,292,9,18
1548455402.1784818,292,9,18
1548456002.4992175,292,9,18
1548456602.5456297,292,9,18
