epoch,followers,following,media
1548298802.0870934,683,397,54
1548299401.7826178,683,397,54
1548300001.8165777,683,397,54
1548300601.8579254,683,397,54
1548301202.2029557,683,397,54
1548301802.2400985,683,397,54
1548302402.289817,683,397,54
1548303001.924893,683,397,54
1548303601.9764748,683,397,54
1548304201.9992287,683,397,54
1548304801.659162,683,397,54
1548305401.6617913,683,397,54
1548306001.7218227,683,397,54
1548306602.3569465,683,397,54
1548307202.3992085,683,397,54
1548307802.265828,683,397,54
1548308401.5983963,683,397,54
1548309001.6716585,683,397,54
1548309601.6540363,683,397,54
1548310202.3479655,683,397,54
1548310802.4122798,683,397,54
1548311402.4376361,683,397,54
1548312001.750331,683,397,54
1548312601.786316,683,397,54
1548313201.8348525,683,397,54
1548313802.511596,683,397,54
1548314402.566716,683,397,54
1548315001.5818083,683,397,54
1548315602.2301936,683,397,54
1548316202.2651966,683,397,54
1548316802.3179162,683,397,54
1548317401.954595,683,397,55
1548318001.9911675,683,397,55
1548318602.0316777,684,397,55
1548319201.693294,685,397,55
1548319801.7206945,685,397,55
1548320401.7419436,686,397,55
1548321002.392902,686,397,55
1548321602.4675891,686,397,55
1548322202.46317,686,397,55
1548322801.815157,686,397,55
1548323401.859531,686,397,55
1548324001.884133,687,397,55
1548324602.534612,687,397,55
1548325201.5782216,687,397,55
1548325801.6016753,687,397,55
1548326402.2679408,687,397,55
1548327002.2822492,687,397,55
1548327602.3302438,687,397,55
1548328201.9696956,687,397,55
1548328802.0261345,687,397,55
1548329402.0508032,687,397,55
1548330002.3825116,687,397,55
1548330602.430637,687,397,55
1548331202.4445753,687,397,55
1548331802.0896401,687,397,55
1548332402.1706738,687,397,55
1548333002.1908553,687,397,55
1548333601.8707101,687,397,55
1548334201.8934782,687,397,55
1548334801.9102318,687,397,55
1548335402.2417383,687,397,55
1548336002.2944405,687,397,55
1548336602.3522868,687,397,55
1548337201.6503725,687,397,55
1548337801.6887603,688,397,55
1548338401.7017498,688,397,55
1548339002.3656354,688,397,55
1548339602.4173028,688,397,55
1548340202.491884,688,397,55
1548340802.1181753,688,397,55
1548341402.1435182,688,397,55
1548342002.2033396,688,397,55
1548342602.5349479,688,397,55
1548343201.5846477,688,397,55
1548343801.6087608,688,397,55
1548344401.9393218,688,397,55
1548345001.985724,688,397,55
1548345602.028503,688,397,55
1548346201.6811435,688,397,55
1548346802.2148647,688,397,55
1548347401.749384,688,397,55
1548348002.4083223,688,397,55
1548348602.4364238,688,397,55
1548349202.5039852,688,397,55
1548349802.1363947,688,397,55
1548350402.166014,688,397,55
1548351002.2136896,688,397,55
1548351601.8721447,689,397,55
1548352201.9114017,689,397,55
1548352801.93166,688,397,55
1548353402.570771,688,397,55
1548354001.6243076,688,397,55
1548354601.658671,688,397,55
1548355202.0191882,688,397,55
1548355802.033689,688,397,55
1548356402.056937,688,397,55
1548357001.683956,688,397,55
1548357601.7359772,688,397,55
1548358201.7609067,688,397,55
1548358802.0928025,688,397,55
1548359402.1381414,688,397,55
1548360002.1960661,688,397,55
1548360601.8301783,688,397,55
1548361201.8697717,688,397,55
1548361801.902783,688,397,55
1548362402.5347517,687,397,55
1548363601.5918648,687,397,55
1548364201.9163437,687,397,55
1548364801.9838603,687,397,55
1548365402.034526,687,397,55
1548366001.6462853,688,397,55
1548366601.667974,688,397,55
1548367201.71866,688,397,55
1548367802.3618302,688,397,55
1548368402.411959,688,397,55
1548369002.4602625,688,397,55
1548369602.0973554,688,397,55
1548370202.1206756,688,397,55
1548370802.2215288,688,397,55
1548371402.527792,688,397,55
1548372001.577802,688,397,55
1548372601.6135757,688,397,55
1548373202.2273471,688,397,55
1548373802.26911,688,397,55
1548374402.3109617,688,397,55
