epoch,followers,following,media,accessibility_caption,comments_disabled,liked_by,is_video,location,taken_at,caption
1548883845.3587532,5229,495,57,,,,,,,
1548884434.361268,5229,495,57,,,,,,,
1548885017.4440415,5229,495,57,,,,,,,
1548885634.1215887,5229,495,57,,,,,,,
1548886218.9769244,5229,495,57,,,,,,,
1548886818.826283,5229,495,57,,,,,,,
1548887419.9136057,5229,495,57,,,,,,,
1548888018.8229399,5229,495,57,,,,,,,
1548890417.4552114,5228,495,57,,,,,,,
1548891019.6409848,5228,495,57,,,,,,,
1548891622.0968485,5228,495,57,,,,,,,
1548892218.7972865,5228,495,57,,,,,,,
1548892819.4841652,5228,495,57,,,,,,,
1548893419.7599065,5227,495,57,,,,,,,
1548894018.9864297,5227,495,57,,,,,,,
1548894617.7419682,5227,495,57,,,,,,,
1548895217.8245702,5227,495,57,,,,,,,
1548895817.9692416,5227,495,57,,,,,,,
1548896418.081304,5227,495,57,,,,,,,
1548897024.116614,5227,495,57,,,,,,,
1548897617.3226109,5227,495,57,,,,,,,
1548898218.3069804,5227,495,57,,,,,,,
1548898820.2054229,5227,495,57,,,,,,,
1548899418.4130204,5227,495,57,,,,,,,
1548900018.573947,5227,495,57,,,,,,,
1548900617.6545334,5227,495,57,,,,,,,
1548901216.8179119,5227,495,57,,,,,,,
1548901820.789966,5227,495,57,,,,,,,
1548902418.7617445,5227,495,57,,,,,,,
1548903017.6642332,5227,495,57,,,,,,,
1548903617.974638,5227,495,57,,,,,,,
1548904218.000674,5227,495,57,,,,,,,
1548904817.536075,5227,495,57,,,,,,,
1548905418.5142043,5227,495,57,,,,,,,
1548906017.1642988,5227,495,57,,,,,,,
1548906617.9304786,5227,495,57,,,,,,,
1548907217.378565,5227,495,57,,,,,,,
1548907817.5958545,5227,495,57,,,,,,,
1548908417.132825,5227,495,57,,,,,,,
1548909016.8449185,5227,495,57,,,,,,,
1548909616.8585727,5227,495,57,,,,,,,
1548910216.6967938,5227,495,57,,,,,,,
1548910817.0558953,5227,495,57,,,,,,,
1548911417.3693304,5227,495,57,,,,,,,
1548912016.8606496,5227,495,57,,,,,,,
1548912620.489192,5227,495,57,,,,,,,
1548913217.5939374,5227,495,57,,,,,,,
1548913817.5402255,5227,495,57,,,,,,,
