epoch,followers,following,media
1548523202.3595011,1153,402,205
1548523802.4165056,1153,402,205
1548524401.741096,1153,402,205
1548525001.7657979,1153,402,205
1548525601.7920449,1153,402,205
1548526202.14013,1153,402,205
1548526802.1770735,1153,402,205
1548527402.2148163,1153,402,205
1548528001.8598435,1153,402,205
1548528601.8825219,1153,402,205
1548529201.9212372,1153,402,205
1548529802.5621989,1153,402,205
1548530401.6177764,1153,402,205
1548531001.6334498,1153,402,205
1548531602.280587,1153,402,205
1548532202.3211417,1153,402,205
1548532802.4387732,1154,402,205
1548533402.021038,1154,402,205
1548534002.0549285,1154,402,205
1548534602.108845,1154,402,205
1548535201.746278,1154,402,205
1548535801.7737863,1154,402,205
1548536401.790787,1154,402,205
1548537002.4396439,1154,402,205
1548537602.4845831,1154,402,205
1548538202.5201578,1154,402,205
1548538801.8494823,1154,402,205
1548539401.8816388,1154,402,205
1548540001.90186,1154,402,205
1548540602.2300825,1154,402,205
1548541202.2864752,1154,402,205
1548541802.324953,1154,402,205
1548542401.640108,1154,402,205
1548543001.686575,1154,402,205
