epoch,followers,following,media
1548298802.0870934,414193,81,239
1548299401.7826178,414191,81,239
1548300001.8165777,414190,81,239
1548300601.8579254,414191,81,239
1548301202.2029557,414190,81,239
1548301802.2400985,414188,81,239
1548302402.289817,414189,81,239
1548303001.924893,414191,81,239
1548303601.9764748,414191,81,239
1548304201.9992287,414191,81,239
1548304801.659162,414188,81,239
1548305401.6617913,414191,81,239
1548306001.7218227,414193,81,239
1548306602.3569465,414195,81,239
1548307202.3992085,414196,81,239
1548307802.265828,414196,81,239
1548308401.5983963,414200,81,239
1548309001.6716585,414202,81,239
1548309601.6540363,414208,81,239
1548310202.3479655,414207,81,239
1548310802.4122798,414210,81,239
1548311402.4376361,414211,81,239
1548312001.750331,414215,81,239
1548312601.786316,414215,81,239
1548313201.8348525,414214,81,239
1548313802.511596,414212,81,239
1548314402.566716,414216,81,239
1548315001.5818083,414222,81,239
1548315602.2301936,414225,81,239
1548316202.2651966,414230,81,239
1548316802.3179162,414235,81,239
1548317401.954595,414241,81,239
1548318001.9911675,414245,81,239
1548318602.0316777,414245,81,239
1548319201.693294,414246,81,239
1548319801.7206945,414252,81,239
1548320401.7419436,414259,81,239
1548321002.392902,414260,81,239
1548321602.4675891,414266,81,239
1548322202.46317,414269,81,239
1548322801.815157,414276,81,239
1548323401.859531,414280,81,239
1548324001.884133,414281,81,239
1548324602.534612,414285,81,239
1548325201.5782216,414288,81,239
1548325801.6016753,414292,81,239
1548326402.2679408,414295,81,239
1548327002.2822492,414303,81,239
1548327602.3302438,414313,81,239
1548328201.9696956,414321,81,239
1548328802.0261345,414323,81,239
1548329402.0508032,414326,81,239
1548330002.3825116,414332,81,239
1548330602.430637,414335,81,239
1548331202.4445753,414339,81,239
1548331802.0896401,414344,81,239
1548332402.1706738,414347,81,239
1548333002.1908553,414348,81,239
1548333601.8707101,414363,81,239
1548334201.8934782,414370,81,239
1548334801.9102318,414379,81,239
1548335402.2417383,414384,81,239
1548336002.2944405,414396,81,239
1548336602.3522868,414404,81,239
1548337201.6503725,414409,81,239
1548337801.6887603,414410,81,239
1548338401.7017498,414420,81,239
1548339002.3656354,414431,81,239
1548339602.4173028,414440,81,239
1548340202.491884,414452,81,239
1548340802.1181753,414460,81,239
1548341402.1435182,414464,81,239
1548342002.2033396,414469,81,239
1548342602.5349479,414470,81,239
1548343201.5846477,414477,81,239
1548343801.6087608,414482,81,239
1548344401.9393218,414494,81,239
1548345001.985724,414496,81,239
1548345602.028503,414505,81,239
1548346201.6811435,414514,81,239
1548346802.2148647,414517,81,239
1548347401.749384,414523,81,239
1548348002.4083223,414528,81,239
1548348602.4364238,414546,81,239
1548349202.5039852,414554,81,239
1548349802.1363947,414558,81,239
1548350402.166014,414563,81,239
1548351002.2136896,414575,81,239
1548351601.8721447,414586,81,239
1548352201.9114017,414601,81,239
1548352801.93166,414606,81,239
1548353402.570771,414612,81,239
1548354001.6243076,414617,81,239
1548354601.658671,414621,81,239
1548355202.0191882,414625,81,239
1548355802.033689,414635,81,239
1548356402.056937,414644,81,239
1548357001.683956,414643,81,239
1548357601.7359772,414653,81,239
1548358201.7609067,414666,81,239
1548358802.0928025,414675,81,239
1548359402.1381414,414683,81,239
1548360002.1960661,414691,81,239
1548360601.8301783,414703,81,239
1548361201.8697717,414707,81,239
1548361801.902783,414718,81,239
1548362402.5347517,414720,81,239
1548363601.5918648,414725,81,239
1548364201.9163437,414725,81,239
1548364801.9838603,414737,81,239
1548365402.034526,414744,81,239
1548366001.6462853,414747,81,239
1548366601.667974,414759,81,239
1548367201.71866,414765,81,239
1548367802.3618302,414765,81,239
1548368402.411959,414770,81,239
1548369002.4602625,414771,81,239
1548369602.0973554,414774,81,239
1548370202.1206756,414779,81,239
1548370802.2215288,414780,81,239
1548371402.527792,414781,81,239
1548372001.577802,414785,81,239
1548372601.6135757,414788,81,239
1548373202.2273471,414789,82,239
1548373802.26911,414802,82,239
1548374402.3109617,414802,82,239
