epoch,followers,following,media
1548523202.3595011,762,402,27
1548523802.4165056,762,402,27
1548524401.741096,762,402,27
1548525001.7657979,762,402,27
1548525601.7920449,762,402,27
1548526202.14013,762,402,27
1548526802.1770735,762,402,27
1548527402.2148163,762,402,27
1548528001.8598435,762,402,27
1548528601.8825219,762,402,27
1548529201.9212372,762,402,27
1548529802.5621989,762,402,27
1548530401.6177764,762,402,27
1548531001.6334498,762,402,27
1548531602.280587,762,402,27
1548532202.3211417,762,402,27
