epoch,followers,following,media
1548298802.0870934,17539,48,154
1548299401.7826178,17539,48,154
1548300001.8165777,17539,48,154
1548300601.8579254,17536,48,154
1548301202.2029557,17535,48,154
1548301802.2400985,17535,48,154
1548302402.289817,17534,48,154
1548303001.924893,17534,48,154
1548303601.9764748,17534,48,154
1548304201.9992287,17534,48,154
1548304801.659162,17534,48,154
1548305401.6617913,17533,48,154
1548306001.7218227,17533,48,154
1548306602.3569465,17533,48,154
1548307202.3992085,17533,48,154
1548307802.265828,17534,48,154
1548308401.5983963,17534,48,154
1548309001.6716585,17534,48,154
1548309601.6540363,17534,48,154
1548310202.3479655,17535,48,154
1548310802.4122798,17534,48,154
1548311402.4376361,17534,48,154
1548312001.750331,17534,48,154
1548312601.786316,17534,48,154
1548313201.8348525,17534,48,154
1548313802.511596,17534,48,154
1548314402.566716,17534,48,154
1548315001.5818083,17535,48,154
1548315602.2301936,17537,48,154
1548316202.2651966,17537,48,154
1548316802.3179162,17537,48,154
1548317401.954595,17538,48,154
1548318001.9911675,17538,48,154
1548318602.0316777,17538,48,154
1548319201.693294,17538,48,154
1548319801.7206945,17540,48,154
1548320401.7419436,17540,48,154
1548321002.392902,17540,48,154
1548321602.4675891,17540,48,154
1548322202.46317,17539,48,154
1548322801.815157,17542,48,154
1548323401.859531,17542,48,154
1548324001.884133,17545,48,154
1548324602.534612,17547,48,154
1548325201.5782216,17548,48,154
1548325801.6016753,17549,48,154
1548326402.2679408,17549,48,154
1548327002.2822492,17549,48,154
1548327602.3302438,17551,48,154
1548328201.9696956,17551,48,154
1548328802.0261345,17551,48,154
1548329402.0508032,17551,48,154
1548330002.3825116,17550,48,154
1548330602.430637,17550,48,154
1548331202.4445753,17551,48,154
1548331802.0896401,17551,49,154
1548332402.1706738,17552,49,154
1548333002.1908553,17554,49,154
1548333601.8707101,17554,49,154
1548334201.8934782,17554,49,154
1548334801.9102318,17554,49,154
1548335402.2417383,17554,49,154
1548336002.2944405,17554,49,154
1548336602.3522868,17557,49,154
1548337201.6503725,17559,49,154
1548337801.6887603,17560,49,154
1548338401.7017498,17560,49,154
1548339002.3656354,17560,49,154
1548339602.4173028,17561,49,154
1548340202.491884,17561,49,154
1548340802.1181753,17563,49,154
1548341402.1435182,17563,49,154
1548342002.2033396,17566,49,154
1548342602.5349479,17567,49,154
1548343201.5846477,17567,49,154
1548343801.6087608,17567,49,154
1548344401.9393218,17567,50,154
1548345001.985724,17569,50,154
1548345602.028503,17570,50,154
1548346201.6811435,17570,50,154
1548346802.2148647,17568,50,155
1548347401.749384,17566,50,155
1548348002.4083223,17567,50,155
1548348602.4364238,17566,50,155
1548349202.5039852,17570,50,154
1548349802.1363947,17571,50,154
1548350402.166014,17571,50,154
1548351002.2136896,17570,50,154
1548351601.8721447,17572,50,154
1548352201.9114017,17573,50,154
1548352801.93166,17575,50,154
1548353402.570771,17575,50,154
1548354001.6243076,17575,50,154
1548354601.658671,17576,50,154
1548355202.0191882,17578,50,154
1548355802.033689,17579,50,154
1548356402.056937,17581,50,154
1548357001.683956,17581,50,154
1548357601.7359772,17583,50,154
1548358201.7609067,17583,50,154
1548358802.0928025,17583,50,154
1548359402.1381414,17584,50,154
1548360002.1960661,17584,50,154
1548360601.8301783,17585,50,154
1548361201.8697717,17585,50,154
1548361801.902783,17586,50,154
1548362402.5347517,17586,50,154
1548363002.5681932,17587,50,154
1548363601.5918648,17589,50,154
1548364201.9163437,17590,50,155
1548364801.9838603,17594,50,155
1548365402.034526,17598,50,155
1548366001.6462853,17597,50,155
1548366601.667974,17596,50,155
1548367201.71866,17595,50,155
1548367802.3618302,17595,50,155
1548368402.411959,17594,50,155
1548369002.4602625,17595,50,155
1548369602.0973554,17596,50,155
1548370202.1206756,17596,50,155
1548370802.2215288,17597,50,155
1548371402.527792,17597,50,155
1548372001.577802,17597,50,155
1548372601.6135757,17596,50,155
1548373202.2273471,17596,50,155
1548373802.26911,17596,50,155
1548374402.3109617,17596,50,155
1548375001.6217418,17591,50,155
1548375601.6727982,17595,50,155
1548376201.7078817,17595,50,155
1548376802.3376527,17595,50,155
1548377402.3808444,17595,50,155
1548378002.4134896,17595,50,155
1548378602.0758533,17595,50,155
1548379202.1097815,17595,50,155
1548379802.131885,17595,50,155
1548380402.4742074,17595,50,155
1548381002.4998658,17596,50,155
1548381602.5907516,17596,50,155
1548382202.192975,17595,50,155
1548382802.2416837,17595,50,155
1548383402.2612572,17595,50,155
1548384001.8973317,17595,50,155
1548384601.9611404,17595,50,155
1548385201.981544,17596,50,155
1548385802.342515,17596,50,155
1548386402.4046257,17596,50,155
1548387002.4276068,17592,50,155
1548387601.760065,17592,50,155
1548388201.8036232,17592,50,155
1548388801.836785,17592,50,155
1548389402.4605448,17592,50,155
1548390002.5173984,17591,50,155
1548390602.5644708,17590,50,155
1548391202.2382088,17590,50,155
1548391802.2829645,17590,50,155
1548392402.3485987,17590,50,155
1548393001.6377058,17591,50,155
1548393601.6982071,17591,50,155
1548394202.3228521,17591,50,155
1548394801.934604,17591,50,155
1548395401.946683,17591,50,155
1548396001.99455,17591,50,155
1548396602.3715575,17590,50,155
1548397202.3989081,17591,50,155
1548397802.4519963,17591,50,155
1548398402.118225,17591,50,155
1548399002.1331618,17591,50,155
1548399602.174842,17591,50,155
1548400201.8143158,17591,50,155
1548400801.8702037,17590,50,155
1548401401.9161553,17590,50,155
1548402002.5757632,17592,50,155
1548402601.621733,17592,50,155
1548403201.7224991,17591,50,155
1548403802.3262048,17591,50,155
1548404402.3814044,17592,50,155
1548405002.4677324,17594,50,155
1548405602.0782294,17594,50,155
1548406202.0929856,17594,50,155
1548406802.1213877,17594,50,155
1548407401.7592435,17594,50,155
1548408001.7989984,17594,50,155
1548408601.8437734,17595,50,155
1548409202.4859674,17595,50,155
1548409802.5239706,17595,50,155
1548410402.5946887,17596,50,155
1548411002.234579,17597,50,155
1548411602.26562,17598,50,155
1548412202.302785,17599,50,155
1548412801.9594138,17600,50,155
1548413401.9798024,17599,50,155
1548414002.1040714,17597,50,155
1548414601.718412,17597,50,155
1548415201.773623,17597,50,155
1548415801.8149464,17597,50,155
1548416402.1572523,17597,50,155
1548417002.1891375,17598,50,155
1548417602.231166,17598,50,155
1548418201.8824282,17598,50,155
1548418801.948313,17598,50,155
1548419401.9736147,17598,50,155
1548420001.6429195,17598,50,155
1548420601.6600354,17598,50,155
1548421201.7093906,17598,50,155
1548421802.3676147,17599,50,155
1548422402.404802,17599,50,155
1548423002.5055323,17600,50,155
1548423602.1286495,17600,50,155
1548424202.1819103,17601,50,155
1548424802.2735505,17604,50,155
1548425402.532115,17603,50,155
1548426001.589806,17605,50,155
1548426601.6334865,17605,50,155
1548427201.970455,17605,50,155
1548427801.998927,17605,50,155
1548428402.7792811,17605,50,155
1548429001.7699358,17605,50,155
1548429601.7861412,17606,50,155
1548430201.8283162,17606,50,155
1548430802.1567636,17606,50,155
1548431402.2129467,17607,50,155
1548432002.2438464,17609,50,155
1548432601.9222934,17611,50,155
1548433201.964088,17612,50,155
1548433801.9873755,17613,51,156
1548434401.6474857,17613,51,156
1548435001.6712515,17613,51,156
1548435601.7747889,17612,51,156
1548436202.0655203,17610,51,156
1548436802.1076508,17610,51,156
1548437402.1514566,17611,51,156
1548438001.8039694,17615,51,156
1548438601.8261967,17616,51,156
1548439201.855445,17616,51,156
1548439802.5156443,17617,51,156
1548440402.5489078,17617,51,156
1548441001.56922,17618,51,156
1548441602.2239504,17618,51,156
1548442202.2564628,17618,51,156
1548442802.2987196,17618,51,156
1548443401.9383855,17617,51,156
1548444002.0165036,17616,51,156
1548444602.044816,17616,52,156
1548445202.3662565,17617,52,156
1548445802.409129,17618,52,156
1548446402.5271378,17620,52,156
1548447002.1144686,17620,51,156
1548447602.151291,17621,52,156
1548448202.1984131,17622,51,156
1548448802.5225685,17622,51,156
1548449402.5810623,17623,51,156
1548450001.6040695,17624,52,156
