epoch,followers,following,media
1548523202.3595011,2633,573,52
1548523802.4165056,2633,573,52
1548524401.741096,2633,573,52
1548525001.7657979,2633,573,52
1548525601.7920449,2633,573,52
1548526202.14013,2633,573,52
1548526802.1770735,2633,573,52
1548527402.2148163,2633,573,52
1548528001.8598435,2633,573,52
1548528601.8825219,2633,573,52
1548529201.9212372,2633,573,52
1548529802.5621989,2633,573,52
1548530401.6177764,2633,573,52
1548531001.6334498,2633,573,52
1548531602.280587,2633,573,52
1548532202.3211417,2633,573,52
1548532802.4387732,2634,573,52
1548533402.021038,2634,573,52
1548534002.0549285,2634,573,52
1548534602.108845,2634,573,52
1548535201.746278,2634,573,52
1548535801.7737863,2634,573,52
1548536401.790787,2634,573,52
1548537002.4396439,2634,573,52
1548537602.4845831,2634,573,52
1548538202.5201578,2634,573,52
1548538801.8494823,2634,573,52
1548539401.8816388,2634,573,52
1548540001.90186,2635,573,52
1548540602.2300825,2636,573,52
1548541202.2864752,2636,573,52
1548541802.324953,2636,573,52
1548542401.640108,2637,573,52
1548543001.686575,2637,573,52
1548543601.8123033,2637,573,52
1548544202.0768151,2637,573,52
1548544802.1498635,2637,573,52
1548545402.1522403,2637,573,52
1548546001.8144815,2637,573,52
1548546601.8199844,2637,573,52
1548547201.8527646,2637,573,52
1548547802.5115938,2637,573,52
1548548402.5501661,2637,573,52
1548549001.5882766,2637,573,52
1548549601.9055262,2637,573,52
1548550201.9333768,2637,573,52
1548550801.9583886,2638,573,52
1548551402.2823677,2638,573,52
1548552002.3085868,2638,573,52
1548552602.3463454,2638,573,52
1548553201.666102,2638,573,52
1548553801.6854002,2638,573,52
1548554401.8044112,2637,573,52
1548555002.0765085,2637,573,52
1548555602.111451,2637,573,52
1548556202.1461885,2637,573,52
1548556801.8041978,2637,573,52
1548557401.8239193,2637,573,52
1548558001.85096,2637,573,52
1548558602.1813846,2637,573,52
1548559202.2238395,2637,573,52
1548559802.2426467,2637,573,52
1548560401.917774,2637,573,52
1548561001.936983,2637,573,52
1548561601.9695628,2637,573,52
1548562202.3062065,2637,573,52
1548562802.3728743,2637,573,52
1548563402.3918824,2637,573,52
1548564002.064319,2637,573,52
1548564602.0938363,2637,573,52
1548565202.1778755,2637,573,52
1548565801.7437794,2637,573,52
1548566401.80949,2637,573,52
1548567002.2776077,2637,573,52
1548567601.9607246,2637,573,52
1548568201.6800005,2637,573,52
1548568801.720616,2637,573,52
1548569402.058282,2637,573,52
1548570002.0868523,2637,573,52
1548571201.7762837,2637,573,52
1548571801.8332868,2637,573,52
1548572401.846818,2637,573,52
1548573002.4970691,2637,573,52
1548573602.558501,2637,573,52
1548574202.5754442,2637,573,52
1548574802.2442062,2637,573,52
1548575402.2620668,2637,573,52
1548576002.3932722,2637,573,52
1548576601.9282079,2637,573,52
1548577201.9921615,2638,573,52
1548577802.017124,2638,573,52
1548578401.67665,2639,573,52
1548579001.7021449,2639,573,52
1548579601.7345872,2639,573,52
1548580202.384151,2639,573,52
1548580802.423383,2639,573,52
1548581402.4564853,2639,573,52
1548582002.1224506,2640,573,52
1548582602.1517186,2640,573,52
1548583202.190094,2640,573,52
1548583801.8172204,2640,573,52
1548584401.8615203,2640,573,52
1548585001.8996608,2640,573,52
1548585602.5668354,2640,573,52
1548586201.5894942,2640,573,52
1548586801.7460864,2640,573,52
1548587402.3022385,2640,573,52
1548588002.3472285,2641,573,52
1548588602.3803399,2641,573,52
1548589202.025786,2641,573,52
1548589802.0709913,2641,573,52
1548590402.118125,2641,573,52
1548591001.7324984,2641,573,52
1548591601.792332,2641,573,52
1548592201.8003924,2641,573,52
1548592802.4313743,2641,573,52
1548593402.4731581,2641,573,52
1548594002.5304446,2642,573,52
1548594601.8936324,2643,573,52
1548595201.9441252,2643,573,52
1548595801.9668648,2643,573,52
1548596401.623917,2643,573,52
1548597001.6342676,2643,573,52
