epoch,followers,following,media
1548523202.3595011,1580,148,98
1548523802.4165056,1580,148,98
1548524401.741096,1580,148,98
1548525001.7657979,1580,148,98
1548525601.7920449,1580,148,98
1548526202.14013,1580,148,98
1548526802.1770735,1580,148,98
1548527402.2148163,1580,148,98
1548528001.8598435,1580,148,98
1548528601.8825219,1580,148,98
1548529201.9212372,1580,148,98
1548529802.5621989,1580,148,98
1548530401.6177764,1580,148,98
1548531001.6334498,1580,148,98
1548531602.280587,1579,148,98
1548532202.3211417,1579,148,98
1548532802.4387732,1579,148,98
1548533402.021038,1579,148,98
1548534002.0549285,1587,148,98
1548534602.108845,1587,148,98
1548535201.746278,1587,148,98
1548535801.7737863,1587,148,98
1548536401.790787,1587,148,98
1548537002.4396439,1587,148,98
1548537602.4845831,1587,148,98
1548538202.5201578,1587,148,98
1548538801.8494823,1589,148,98
1548539401.8816388,1589,148,98
1548540001.90186,1589,148,98
1548540602.2300825,1589,148,98
1548541202.2864752,1589,148,98
1548541802.324953,1590,148,98
1548542401.640108,1590,148,98
1548543001.686575,1590,148,98
1548543601.8123033,1590,148,98
1548544202.0768151,1590,148,98
1548544802.1498635,1589,148,98
1548545402.1522403,1589,148,98
1548546001.8144815,1589,148,98
1548546601.8199844,1589,148,98
1548547201.8527646,1589,148,98
1548547802.5115938,1589,148,98
1548548402.5501661,1589,148,98
1548549001.5882766,1589,148,98
1548549601.9055262,1598,148,98
1548550201.9333768,1598,148,98
1548550801.9583886,1598,148,98
1548551402.2823677,1598,148,98
1548552002.3085868,1599,148,98
1548552602.3463454,1599,148,98
1548553201.666102,1599,148,98
1548553801.6854002,1599,148,98
1548554401.8044112,1599,148,98
1548555002.0765085,1599,148,98
1548555602.111451,1600,148,98
1548556202.1461885,1600,148,98
1548556801.8041978,1600,148,98
1548557401.8239193,1600,150,98
1548558001.85096,1600,150,98
1548558602.1813846,1599,150,98
1548559202.2238395,1599,150,98
1548559802.2426467,1599,150,98
1548560401.917774,1599,150,98
1548561001.936983,1599,150,98
1548561601.9695628,1599,150,98
1548562202.3062065,1599,150,98
1548562802.3728743,1599,150,98
1548563402.3918824,1599,150,98
1548564002.064319,1599,150,98
1548564602.0938363,1599,150,98
1548565202.1778755,1599,150,98
1548565801.7437794,1599,150,98
