epoch,followers,following,media
1548523202.3595011,28645,737,147
1548523802.4165056,28645,737,147
1548524401.741096,28645,737,147
1548525001.7657979,28645,737,147
1548525601.7920449,28644,737,147
1548526202.14013,28644,737,147
1548526802.1770735,28644,737,147
1548527402.2148163,28644,737,147
1548528001.8598435,28644,737,147
1548528601.8825219,28644,737,147
1548529201.9212372,28644,737,147
1548529802.5621989,28643,737,147
1548530401.6177764,28643,737,147
1548531001.6334498,28643,737,147
1548531602.280587,28643,737,147
1548532202.3211417,28643,737,147
1548532802.4387732,28643,737,147
1548533402.021038,28643,737,147
1548534002.0549285,28643,737,147
1548534602.108845,28643,737,147
1548535201.746278,28643,737,147
1548535801.7737863,28641,737,147
1548536401.790787,28641,737,147
1548537002.4396439,28641,737,147
1548537602.4845831,28641,737,147
1548538202.5201578,28641,737,147
1548538801.8494823,28640,737,147
1548539401.8816388,28640,737,147
1548540001.90186,28640,737,147
1548540602.2300825,28640,737,147
1548541202.2864752,28639,737,147
1548541802.324953,28639,737,147
1548542401.640108,28639,737,147
1548543001.686575,28639,737,147
